Date,Close,Open,High,Low,Change %,Daily Return (%),Volatility (7D),SMA (7D),SMA (30D),Forward Premia of US$ 1-month (%),Forward Premia of US$ 3-month (%),Forward Premia of US$ 6-month (%),Reverse Repo Rate (%),Marginal Standing Facility (MSF) Rate (%),Bank Rate (%),Base Rate (%),91-Day Treasury Bill (Primary) Yield (%),182-Day Treasury Bill (Primary) Yield (%),364-Day Treasury Bill (Primary) Yield (%),10-Year G-Sec Yield (FBIL) (%),Cash Reserve Ratio (%),Statutory Liquidity Ratio (%),Policy Repo Rate (%),"Foreign Exchange Reserves 
(US $ Million)"
01-03-2013,7.885,7.885,7.885,7.885,0.0054,0.005355094,0.031039913,7.826857143,7.809933333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
04-03-2013,7.863,7.863,7.863,7.863,-0.0028,-0.002790108,0.03278574,7.834285714,7.8109,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
05-03-2013,7.87,7.87,7.87,7.87,0.0009,0.000890245,0.034447337,7.841571429,7.813866667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
06-03-2013,7.83,7.83,7.83,7.83,-0.0051,-0.005082592,0.034500518,7.841428571,7.8155,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
07-03-2013,7.841,7.841,7.841,7.841,0.0014,0.001404853,0.032030491,7.845571429,7.8181,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
08-03-2013,7.839,7.839,7.839,7.839,-0.0003,-0.00025507,0.019924859,7.853,7.820633333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
11-03-2013,7.835,7.835,7.835,7.835,-0.0005,-0.000510269,0.020804075,7.851857143,7.821833333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
12-03-2013,7.865,7.865,7.865,7.865,0.0038,0.003828973,0.016401219,7.849,7.823766667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
13-03-2013,7.854,7.854,7.854,7.854,-0.0014,-0.001398601,0.015445758,7.847714286,7.826166667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
14-03-2013,7.813,7.813,7.813,7.813,-0.0052,-0.00522027,0.016711844,7.839571429,7.826366667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
15-03-2013,7.792,7.792,7.792,7.792,-0.0027,-0.002687828,0.024633504,7.834142857,7.8256,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
17-03-2013,7.792,7.792,7.792,7.792,0,0,0.02894494,7.827142857,7.8247,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
18-03-2013,7.8,7.8,7.8,7.8,0.001,0.001026694,0.030015869,7.821571429,7.824066667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
19-03-2013,7.83,7.83,7.83,7.83,0.0038,0.003846154,0.02970089,7.820857143,7.8249,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
20-03-2013,7.849,7.849,7.849,7.849,0.0024,0.002426565,0.026139734,7.818571429,7.826366667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
21-03-2013,7.853,7.853,7.853,7.853,0.0005,0.000509619,0.025915614,7.818428571,7.827833333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
22-03-2013,7.888,7.888,7.888,7.888,0.0045,0.004456895,0.036598855,7.829142857,7.8295,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
25-03-2013,7.87,7.87,7.87,7.87,-0.0023,-0.002281947,0.035254854,7.840285714,7.8309,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
26-03-2013,7.908,7.908,7.908,7.908,0.0048,0.004828463,0.03602975,7.856857143,7.834666667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
27-03-2013,7.908,7.908,7.908,7.908,0,0,0.030291442,7.872285714,7.8378,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
