Date,Price,Open,High,Low,Change %,Daily Return (%),Volatility (7D),SMA (7D),SMA (30D),Forward Premia of US$ 1-month (%),Forward Premia of US$ 3-month (%),Forward Premia of US$ 6-month (%),Reverse Repo Rate (%),Marginal Standing Facility (MSF) Rate (%),Bank Rate (%),Base Rate (%),91-Day Treasury Bill (Primary) Yield (%),182-Day Treasury Bill (Primary) Yield (%),364-Day Treasury Bill (Primary) Yield (%),10-Year G-Sec Yield (FBIL) (%),Cash Reserve Ratio (%),Statutory Liquidity Ratio (%),Policy Repo Rate (%),"Foreign Exchange Reserves 
(US $ Million)"
18-02-2013,7.824,7.824,7.824,7.824,-0.0010,-0.102145046,0.017950991,7.839285714,7.863833333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
19-02-2013,7.827,7.827,7.827,7.827,0.0004,0.038343558,0.016313885,7.834857143,7.862533333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
20-02-2013,7.804,7.804,7.804,7.804,-0.0029,-0.293854606,0.012575486,7.825857143,7.860366667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
21-02-2013,7.812,7.812,7.812,7.812,0.0010,0.102511533,0.010531133,7.821285714,7.860766667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
22-02-2013,7.799,7.799,7.799,7.799,-0.0017,-0.16641065,0.013538305,7.818571429,7.859666667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
25-02-2013,7.798,7.798,7.798,7.798,-0.0001,-0.012822157,0.014008501,7.813714286,7.8569,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
26-02-2013,7.816,7.816,7.816,7.816,0.0023,0.230828418,0.011631239,7.811428571,7.8562,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
27-02-2013,7.798,7.798,7.798,7.798,-0.0023,-0.230296827,0.011086242,7.807714286,7.8541,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
28-02-2013,7.872,7.872,7.872,7.872,0.0095,0.948961272,0.026485396,7.814142857,7.854466667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
01-03-2013,7.908,7.908,7.908,7.908,0.0046,0.457317073,0.043531598,7.829,7.856433333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
04-03-2013,7.885,7.885,7.885,7.885,-0.0029,-0.290844714,0.047356299,7.839428571,7.857133333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
05-03-2013,7.871,7.871,7.871,7.871,-0.0018,-0.177552315,0.044865407,7.849714286,7.856666667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
06-03-2013,7.86,7.86,7.86,7.86,-0.0014,-0.139753526,0.038643055,7.858571429,7.855833333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
07-03-2013,7.862,7.862,7.862,7.862,0.0003,0.025445293,0.033805466,7.865142857,7.8558,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
08-03-2013,7.839,7.839,7.839,7.839,-0.0029,-0.292546426,0.021571586,7.871,7.855533333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
11-03-2013,7.84,7.84,7.84,7.84,0.0001,0.012756729,0.02451433,7.866428571,7.853833333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
12-03-2013,7.888,7.888,7.888,7.888,0.0061,0.612244898,0.019518001,7.863571429,7.853033333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
13-03-2013,7.903,7.903,7.903,7.903,0.0019,0.190162272,0.023575613,7.866142857,7.852966667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
14-03-2013,7.865,7.865,7.865,7.865,-0.0048,-0.480830065,0.02347846,7.865285714,7.850566667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
15-03-2013,7.861,7.861,7.861,7.861,-0.0005,-0.050858233,0.023443955,7.865428571,7.8485,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
17-03-2013,7.863,7.863,7.863,7.863,0.0003,0.025442056,0.023422618,7.865571429,7.847033333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
18-03-2013,7.884,7.884,7.884,7.884,0.0027,0.267073636,0.02096028,7.872,7.847233333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
19-03-2013,7.903,7.903,7.903,7.903,0.0024,0.240994419,0.018284784,7.881,7.849233333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
20-03-2013,7.922,7.922,7.922,7.922,0.0024,0.240415032,0.024058461,7.885857143,7.851833333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
21-03-2013,7.933,7.933,7.933,7.933,0.0014,0.138853825,0.029644722,7.890142857,7.854333333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
22-03-2013,7.961,7.961,7.961,7.961,0.0035,0.352956007,0.037293559,7.903857143,7.857466667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
